"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 23:40:13 UTC 2024","Wed Jul 17 23:40:13 UTC 2024","262","tests","test_app","TestTodoCRUD","","","test_delete_todo",""
"passed","Wed Jul 17 23:40:11 UTC 2024","Wed Jul 17 23:40:12 UTC 2024","1976","tests","test_app","TestTodoCRUD","","","test_create_todo",""
